configuration,source_id,chunk_id,speech_ratio,vad_confidence,wer,cer,content_privacy,speaker_privacy,privacy_score,tc3,ta1,preserve_new,trials_used,used_ss,recipe
LLM-NoMem-SS,,3e955104-c6ff-502d-be87-a451dbd9f165_0,0.8705,0.9454,0.3,0.21311475409836064,0.26524590163934425,0.21398234411217998,0.24986683438119495,0.6666666666666666,1.0,0.8333333333333333,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,3e955104-c6ff-502d-be87-a451dbd9f165_1,0.9425,0.9673499999999999,0.6666666666666666,0.36065573770491804,0.5442622950819672,0.27044402635711196,0.4621168144645106,0.3333333333333333,0.0,0.16666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,3e955104-c6ff-502d-be87-a451dbd9f165_2,0.423,0.9344,0.0,0.0,0.0,0.11659278979616472,0.03497783693884941,0.6666666666666666,1.0,0.8333333333333333,4,True,RECIPE_SOURCE_SEPARATION
LLM-NoMem-SS,,53b5d565-4b57-56ed-93c4-38f316e5ab69_0,0.9035,0.9154,0.6666666666666666,0.4107142857142857,0.5642857142857143,0.28674869285433957,0.48102460785630186,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_MID_BAND_ATTEN
LLM-NoMem-SS,,53b5d565-4b57-56ed-93c4-38f316e5ab69_1,0.935,0.9194500000000001,0.5555555555555556,0.2553191489361702,0.4354609929078014,0.22499764291588642,0.37232198791022686,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,53b5d565-4b57-56ed-93c4-38f316e5ab69_2,0.231,0.8487,0.0,0.0,0.0,0.3405194917816595,0.10215584753449786,1.0,1.0,1.0,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,7584f008-654d-51f2-b4bd-1833726ae8fb_0,0.8555,0.9466,0.9,0.54,0.756,0.280640725063972,0.6133922175191916,0.6666666666666666,1.0,0.8333333333333333,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
LLM-NoMem-SS,,7584f008-654d-51f2-b4bd-1833726ae8fb_1,0.8705,0.9083,0.9,0.5208333333333334,0.7483333333333334,0.06827261698412146,0.5443151184285698,0.6666666666666666,1.0,0.8333333333333333,4,False,RECIPE_MID_BAND_ATTEN
LLM-NoMem-SS,,7584f008-654d-51f2-b4bd-1833726ae8fb_2,0.607,0.8908,0.0,0.0,0.0,0.11650606632033511,0.03495181989610053,1.0,1.0,1.0,4,False,RECIPE_MID_BAND_ATTEN
LLM-NoMem-SS,,9d5f0514-5cae-5a51-93d2-9e3d54e14910_0,0.8785,0.96,0.25,0.26229508196721313,0.25491803278688524,0.2583183030420556,0.25593811386343635,0.3333333333333333,1.0,0.6666666666666666,4,False,RECIPE_LOWPASS_HIGHPASS_MIX
